name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,Star Type Complex,Star Type Simple
61 Virginis c,28,4.6955,Neptune-like,2009,18.2,5972200000000000000000000,0.398,11.209,0.2175,0.10403833,0.14,Radial Velocity,G8 III,G
61 Virginis d,28,4.6955,Neptune-like,2009,22.9,5972200000000000000000000,0.456,11.209,0.476,0.33675563,0.35,Radial Velocity,K4 III,K
AU Microscopii b,32,8.81,Neptune-like,2020,20.12,5972200000000000000000000,0.363,11.209,0.0645,0.023271732,0.19,Transit,K0 III,K
AU Microscopii c,32,8.81,Neptune-like,2021,9.6,5972200000000000000000000,0.289,11.209,0.1101,0.051745377,0.04,Transit,K0 V,K
BD-06 1339 b,66,9.7,Neptune-like,2013,8.5,5972200000000000000000000,0.254,11.209,0.0428,0.010677618,0,Radial Velocity,G3 V,G
BD-08 2823 b,135,9.86,Neptune-like,2009,12.7132,5972200000000000000000000,0.322,11.209,0.06,0.015331964,0.15,Radial Velocity,K3 III,K
BD-11 4672 c,89,10.03,Neptune-like,2020,15.37,5972200000000000000000000,0.36,11.209,0.3,0.20314851,0.4,Radial Velocity,G6 III,G
BD+20 594 b,585,10.849,Neptune-like,2016,22.2481,5972200000000000000000000,0.23,11.209,0.241,0.11416838,0,Transit,K7 V,K
CoRoT-22 b,2046,13.82,Neptune-like,2014,12.2,5972200000000000000000000,0.435,11.209,0.092,0.026830938,0.08,Transit,G3 IV,G
CoRoT-24 b,1930,15.383,Neptune-like,2014,5.7,5972200000000000000000000,0.33,11.209,0.056,0.013963039,0,Transit,K0 IV,K
CoRoT-24 c,1930,15.383,Neptune-like,2014,28,5972200000000000000000000,0.44,11.209,0.098,0.03230664,0,Transit,K0 IV,K
CoRoT-7 c,522,11.728,Neptune-like,2009,8.4,5972200000000000000000000,0.253,11.209,0.046,0.010130048,0,Radial Velocity,M V,M
DMPP-1 b,204,7.98,Neptune-like,2019,24.27,5972200000000000000000000,0.472,11.209,0.1462,0.050924025,0.083,Radial Velocity,M3.5 V,M
DMPP-1 c,204,7.98,Neptune-like,2019,9.6,5972200000000000000000000,0.273,11.209,0.0733,0.018069815,0.057,Radial Velocity,M6,M
EPIC 211945201 b,593,10.154,Neptune-like,2018,27,5972200000000000000000000,0.514,11.209,0.1493,0.05338809,0,Transit,M8,M
EPIC 212737443 b,1097,14.81,Neptune-like,2019,7.2,5972200000000000000000000,0.231,11.209,0.098,0.037234772,0.2,Transit,K1 III,K
EPIC 212737443 c,1097,14.81,Neptune-like,2019,7.7,5972200000000000000000000,0.24,11.209,0.28,0.17960301,0.2,Transit,K1.5 III,K
EPIC 249893012 c,1048,11.429,Neptune-like,2020,14.67,5972200000000000000000000,0.327,11.209,0.13,0.042710472,0.07,Transit,G0 V,G
EPIC 249893012 d,1048,11.429,Neptune-like,2020,10.18,5972200000000000000000000,0.352,11.209,0.22,0.097741276,0.15,Transit,G1 V,G
GJ 1151 c,26,13.76,Neptune-like,2023,10.62,5972200000000000000000000,0.29,11.209,0.5714,1.0669404,0,Radial Velocity,G0V,G
GJ 1214 b,48,15.1,Neptune-like,2009,8.17,5972200000000000000000000,0.245,11.209,0.0149,0.004380561,0.063,Transit,F0 IV,F
GJ 1265 b,33,14.01,Neptune-like,2018,7.4,5972200000000000000000000,0.234,11.209,0.026,0.010130048,0.04,Radial Velocity,G5V,G
GJ 143 b,53,8.08,Neptune-like,2019,22.7,5972200000000000000000000,0.233,11.209,0.1915,0.09746748,0.19,Transit,K0 IV-V,K
GJ 15 A c,12,8.09,Neptune-like,2018,36,5972200000000000000000000,0.595,11.209,5.4,20.8,0.27,Radial Velocity,G8V,G
GJ 160.2 b,84,9.7,Neptune-like,2014,10.2,5972200000000000000000000,0.283,11.209,0.053,0.014236824,0.06,Radial Velocity,G8 V,G
GJ 163 b,49,11.79,Neptune-like,2013,10.6,5972200000000000000000000,0.29,11.209,0.0607,0.023545519,0.07,Radial Velocity,G8 V,G
GJ 163 c,49,11.79,Neptune-like,2013,6.8,5972200000000000000000000,0.223,11.209,0.1254,0.07008898,0.1,Radial Velocity,G8V,G
GJ 163 d,49,11.79,Neptune-like,2013,29.4,5972200000000000000000000,0.528,11.209,1.0304,1.7,0.37,Radial Velocity,K0 IV,K
GJ 180 b,39,10.914,Neptune-like,2014,6.49,5972200000000000000000000,0.217,11.209,0.092,0.04681725,0.07,Radial Velocity,G5 V,G
GJ 180 c,39,10.914,Neptune-like,2014,6.4,5972200000000000000000000,0.215,11.209,0.129,0.06652977,0.09,Radial Velocity,G5 V,G
GJ 180 d,39,10.914,Neptune-like,2020,7.56,5972200000000000000000000,0.237,11.209,0.309,0.29103354,0.14,Radial Velocity,G5 V,G
GJ 2056 b,93,10.37,Neptune-like,2020,16.2,5972200000000000000000000,0.372,11.209,0.283,0.19164956,0.72,Radial Velocity,K1 III,K
GJ 229 A c,19,8.15,Neptune-like,2020,8.57613,5972200000000000000000000,0.256,11.209,0.384214,0.33374402,0.37,Radial Velocity,K1III(+M),K
